Feature,Split,Model,Mean_Abs_SHAP
Circumstance_All suspected felony type,0,Random Forest,0.003732787719794294
Circumstance_Argument over money or property,0,Random Forest,0.0026462904219857033
Circumstance_Arson,0,Random Forest,0.00014067346776040762
Circumstance_Brawl due to influence of alcohol,0,Random Forest,0.0027830724961098725
Circumstance_Brawl due to influence of narcotics,0,Random Forest,5.567207698171163e-05
Circumstance_Burglary,0,Random Forest,8.658693149269187e-05
Circumstance_Child killed by babysitter,0,Random Forest,4.352473482193007e-05
Circumstance_Circumstances undetermined,0,Random Forest,0.086509861147051
Circumstance_Felon killed by police,0,Random Forest,0.0024095098846973017
Circumstance_Felon killed by private citizen,0,Random Forest,0.004204347832556289
Circumstance_Gambling,0,Random Forest,5.842771355921185e-06
Circumstance_Gangland killings,0,Random Forest,0.00012650381598877094
Circumstance_Institutional killings,0,Random Forest,9.026720800323464e-06
Circumstance_Juvenile gang killings,0,Random Forest,0.002674787949638456
Circumstance_Larceny,0,Random Forest,2.7092375847253272e-06
Circumstance_Lovers triangle,0,Random Forest,0.0025986918474035247
Circumstance_Motor vehicle theft,0,Random Forest,1.6052157862600484e-06
Circumstance_Narcotic drug laws,0,Random Forest,0.0009383195564967698
Circumstance_Other,0,Random Forest,0.013665492464906987
Circumstance_Other - not specified,0,Random Forest,0.0015054026289093732
Circumstance_Other arguments,0,Random Forest,0.0646022817743063
Circumstance_Other negligent handling of gun,0,Random Forest,7.561156486750967e-07
Circumstance_Other sex offense,0,Random Forest,3.2437957154783225e-06
Circumstance_Prostitution and commercialized vice,0,Random Forest,3.6363090798471763e-06
Circumstance_Rape,0,Random Forest,7.463670499630845e-05
Circumstance_Robbery,0,Random Forest,0.0023995145297611028
Circumstance_Sniper attack,0,Random Forest,3.7856050720936145e-06
Year,0,XGBoost,0.1849312037229538
VicAge,0,XGBoost,0.11787257343530655
VicCount,0,XGBoost,0.03472666069865227
OffCount,0,XGBoost,0.4537844657897949
Monthly_Overlap,0,XGBoost,0.1205078735947609
FTSWORN,0,XGBoost,0.0795835629105568
PTSWORN,0,XGBoost,0.008016870357096195
TOTFTEMP,0,XGBoost,0.05799250304698944
OPBUDGET,0,XGBoost,0.06781310588121414
DET_SWN,0,XGBoost,0.06064382940530777
PERS_TRN_ACAD,0,XGBoost,0.06244170293211937
PERS_TRN_INSVC,0,XGBoost,0.03798083961009979
PERS_EDU_MIN,0,XGBoost,0.010537861846387386
PovertyRate,0,XGBoost,0.050836700946092606
UnemploymentRate,0,XGBoost,0.1059606596827507
State_Alabama,0,XGBoost,0.005331058986485004
State_Alaska,0,XGBoost,0.0
State_Arizona,0,XGBoost,0.00294283963739872
State_Arkansas,0,XGBoost,0.005276927258819342
State_California,0,XGBoost,0.12624113261699677
State_Colorado,0,XGBoost,0.002728660125285387
State_Connecticut,0,XGBoost,0.0010287127224728465
State_Delaware,0,XGBoost,0.0016280020354315639
State_District of Columbia,0,XGBoost,0.0104306535795331
State_Florida,0,XGBoost,0.01279909722507
State_Georgia,0,XGBoost,0.00512694800272584
State_Hawaii,0,XGBoost,0.0
State_Idaho,0,XGBoost,0.0011198888532817364
State_Illinois,0,XGBoost,0.0041411640122532845
State_Indiana,0,XGBoost,0.0026463097892701626
State_Iowa,0,XGBoost,0.0015379273099824786
State_Kansas,0,XGBoost,0.004070335067808628
State_Kentucky,0,XGBoost,0.0016785924090072513
State_Louisiana,0,XGBoost,0.0045949905179440975
State_Maine,0,XGBoost,0.0006074521807022393
State_Maryland,0,XGBoost,0.0017890945309773088
State_Massachusetts,0,XGBoost,0.0022596726194024086
State_Michigan,0,XGBoost,0.006032052915543318
State_Minnesota,0,XGBoost,0.0028657258953899145
State_Mississippi,0,XGBoost,0.006216026842594147
State_Missouri,0,XGBoost,0.0009682447416707873
State_Montana,0,XGBoost,0.00026519587845541537
State_Nebraska,0,XGBoost,0.0
State_Nevada,0,XGBoost,0.0025219926610589027
State_New Hampshire,0,XGBoost,0.0001732443633954972
State_New Jersey,0,XGBoost,0.00128883495926857
State_New Mexico,0,XGBoost,0.00120915484149009
State_New York,0,XGBoost,0.005636327899992466
State_North Carolina,0,XGBoost,0.0022154024336487055
State_North Dakota,0,XGBoost,0.00037064755451865494
State_Ohio,0,XGBoost,0.0021539940498769283
State_Oklahoma,0,XGBoost,0.0021340337116271257
State_Oregon,0,XGBoost,7.087808626238257e-05
State_Pennsylvania,0,XGBoost,0.011610164307057858
State_Rhode Island,0,XGBoost,2.0245570340193808e-05
State_South Carolina,0,XGBoost,0.008737350814044476
State_South Dakota,0,XGBoost,0.0005228474619798362
State_Tennessee,0,XGBoost,0.013159370049834251
State_Texas,0,XGBoost,0.02532772719860077
State_Utah,0,XGBoost,0.0004571825556922704
State_Vermont,0,XGBoost,0.0
State_Virginia,0,XGBoost,0.010689372196793556
State_Washington,0,XGBoost,0.0018811059417203069
State_West Virginia,0,XGBoost,0.0030059649143368006
State_Wisconsin,0,XGBoost,0.0017867229180410504
State_Wyoming,0,XGBoost,3.900471710949205e-05
Agentype_County police,0,XGBoost,0.0006008724449202418
Agentype_Municipal police,0,XGBoost,0.02931688167154789
Agentype_Primary federal LE,0,XGBoost,0.0
Agentype_Primary state LE,0,XGBoost,0.0051840669475495815
Agentype_Regional police,0,XGBoost,0.0
Agentype_Sheriff,0,XGBoost,0.01417518500238657
Agentype_Special police,0,XGBoost,0.0
Agentype_Tribal,0,XGBoost,2.7440726626082323e-05
Month_April,0,XGBoost,0.0015913924435153604
Month_August,0,XGBoost,0.0003553266287781298
Month_December,0,XGBoost,0.02445591799914837
Month_February,0,XGBoost,0.005628332030028105
Month_January,0,XGBoost,0.0037080328911542892
Month_July,0,XGBoost,0.0004751130472868681
Month_June,0,XGBoost,0.00017477647634223104
Month_March,0,XGBoost,0.0016754374373704195
Month_May,0,XGBoost,0.0003575639275368303
Month_November,0,XGBoost,0.01556868851184845
Month_October,0,XGBoost,0.007299802266061306
Month_September,0,XGBoost,0.0022274740040302277
VicSex_Female,0,XGBoost,0.13936656713485718
VicSex_Male,0,XGBoost,0.006689675152301788
VicSex_Unknown,0,XGBoost,0.0007559618097729981
VicRace_American Indian or Alaskan Native,0,XGBoost,6.650981958955526e-05
VicRace_Asian,0,XGBoost,0.0005014433991163969
VicRace_Black,0,XGBoost,0.0437336191534996
VicRace_Native Hawaiian or Pacific Islander,0,XGBoost,0.0
VicRace_Unknown,0,XGBoost,0.0014644981129094958
VicRace_White,0,XGBoost,0.04384329169988632
Weapon_Asphyxiation - includes death by gas,0,XGBoost,0.001069539925083518
"Weapon_Blunt object - hammer, club, etc",0,XGBoost,0.006652163341641426
Weapon_Drowning,0,XGBoost,0.00025525351520627737
Weapon_Explosives,0,XGBoost,0.0004529057478066534
Weapon_Fire,0,XGBoost,0.000928817200474441
"Weapon_Firearm, type not stated",0,XGBoost,0.10382836312055588
"Weapon_Handgun - pistol, revolver, etc",0,XGBoost,0.031138461083173752
Weapon_Knife or cutting instrument,0,XGBoost,0.08194644749164581
"Weapon_Narcotics or drugs, sleeping pills",0,XGBoost,0.0011690891114994884
Weapon_Other gun,0,XGBoost,0.005823882762342691
Weapon_Other or type unknown,0,XGBoost,0.047314826399087906
"Weapon_Personal weapons, includes beating",0,XGBoost,0.027840815484523773
Weapon_Poison - does not include gas,0,XGBoost,0.00015470052312593907
Weapon_Pushed or thrown out window,0,XGBoost,0.00019839164451695979
Weapon_Rifle,0,XGBoost,0.027172552421689034
Weapon_Shotgun,0,XGBoost,0.03585916757583618
Weapon_Strangulation - hanging,0,XGBoost,0.008362550288438797
Weapon_Weapon Not Reported,0,XGBoost,0.002287119161337614
